,gl,eu,cbam
AUS_ADM+,0.002490159852196929,-4.026575397615646e-05,0.0002817695125387298
AUS_AGRagr,0.0,0.0,0.0
AUS_CNS+,-0.0012165917502273804,-0.001890189595627589,-0.004897109291654364
AUS_COMpub,0.0,0.0,0.0
AUS_ENRcoa,0.4886039886039886,0.0,0.03925066904549521
AUS_ENRele,0.03030303030303036,0.0,0.0
AUS_FD+,0.2760416666666668,0.0,0.0
AUS_FINser,0.01794120723925088,0.013296195080933387,0.013140604467805498
AUS_HEA+,0.0,0.0,0.0
AUS_MANfoo,0.9419431279620853,0.0,0.0
AUS_MANmet,0.0,0.0,0.0
AUS_MANwoo,0.0,0.0,0.0
AUS_MIN+,-0.0045501080650666385,-0.005865937695768552,-0.011129176303556294
AUS_PROleg,0.18435410066877864,0.030337901454127007,0.07587238285144575
AUS_RES+,0.0003793147047667199,1.5810526648666886e-05,0.0
AUS_TRAinl,-0.011181332036947001,0.0,0.0009606147934677419
AUS_TRDmot,-0.023185659311971862,-0.0047663356183893415,-0.004918997967827068
AUT_ADM+,0.0,0.0,0.0
AUT_CNS+,-3.4739109289162986e-05,0.0003125434088068734,-0.00034749973937521543
AUT_COMpub,0.0,0.0,0.0
AUT_ENRele,0.01706694818333777,-0.0352080051885481,-0.03463283637373828
AUT_ENRgas,0.7276489419848521,-0.7660759493670887,-0.6095985233041069
AUT_FD+,0.0,0.0,0.0
AUT_MANfmp,0.062140391254315364,-0.03426395939086292,-0.02956038403233956
AUT_MANfoo,0.0,0.0,0.0
AUT_MANmac,-11.634988490628086,0.0416053478336783,-10.408254156769598
AUT_MANmet,-0.17947454844006566,-0.0975628390251355,-0.06525285481239795
AUT_MANmot,0.5973523295793787,0.07048479087452476,0.6578910541230801
AUT_MANpap,0.0,-inf,0.0
AUT_MANwoo,0.003940401428395539,0.00516541630795718,0.0022203034414703254
AUT_PROleg,-0.0055570991942206945,0.0028202343712012113,0.002545395590142627
AUT_RES+,-0.00010631511800974789,0.0007435734013171515,-0.0002658301876761277
AUT_TRAwar,0.0,0.0,0.0
AUT_TRDmot,-0.010012366818873752,0.006177895303395477,0.017080565649084528
BEL_ADM+,-0.0054288816503799036,0.0,0.0
BEL_CNS+,-0.005068558928666796,0.0031749391469996693,0.004123493338972184
BEL_ENRoil,0.06313592486303152,-0.00041788549937317004,-0.021185838191383435
BEL_FD+,-0.015119697606048012,0.0,0.0
BEL_FINser,0.3638387715930902,0.010331442221558542,-0.04634423538325547
BEL_MANche,0.058621901915978256,-0.017478863873848186,-0.001121600149546682
BEL_MANfoo,0.019199346405228804,0.10829681348882131,0.006044047027653687
BEL_MANmet,0.054899702466647535,-0.15453159807714864,-0.12691691462577243
BEL_MANwoo,0.0,0.0,0.0
BEL_PROleg,0.03463339991356243,0.010168273549314278,0.01752258678078937
BEL_PUB+,0.0,0.0,0.0
BEL_RES+,-0.006646706586826375,0.0026696725201707937,0.0032018974206938404
BEL_TRAinl,0.0,0.0,0.0
BEL_TRAwar,-0.31840663012966186,-0.0029999491534042767,-0.0030509508796908243
BEL_TRDmot,-0.008440926004545156,0.019950003640511575,0.008690315453541101
BGR_AGRagr,0.6150234741784038,0.5603217158176943,0.7905491698595147
BGR_CNS+,0.1063506697760183,-0.06337119256582345,-0.06319966448365971
BGR_COMcom,0.0,0.0,0.0
BGR_ENRele,-0.08783662879126777,0.03881499634380127,0.03881499634380127
BGR_ENRoil,0.12374286705129418,-0.07545271629778677,-0.07599396074484142
BGR_FINser,0.0,0.0,0.0
BGR_HEA+,0.0,0.0,0.0
BGR_MANfoo,0.0,0.0,0.0
BGR_MANmet,0.021901538854479218,-0.0031302798915535473,-0.008293838862559135
BGR_MANpri,0.0,0.0,0.0
BGR_MANwoo,0.0,0.0,0.0
BGR_PROleg,0.0,0.0,0.0
BGR_PUB+,0.0,0.0,0.0
BGR_RES+,0.0,0.0,0.0
BGR_TRAinl,0.1627964291582233,-0.0686123732960503,-0.06730668528539015
BGR_TRDmot,0.12506892576068973,0.0546242383209208,0.1462322987746717
BRA_ADM+,0.0013589594253544139,0.0,0.0
BRA_AGRagr,-0.0052688067128500125,0.0009696499563658076,-0.00019415590719341593
BRA_CNS+,0.0076555023923445395,0.0,0.0
BRA_COMcom,0.0,0.0,0.0
BRA_ENRele,-0.4974545454545453,0.0,0.0
BRA_ENRoil,0.010005840673506369,-0.00024439093011600644,-0.004700035923841461
BRA_EXT+,0.0,0.0,0.0
BRA_FD+,0.0,0.0,0.0
BRA_FINser,0.0,0.0,0.0
BRA_MANche,0.01519999999999992,0.0,0.0
BRA_MANfoo,-0.0034146341463414495,0.0008095854922280257,-0.00016207455429492523
BRA_MANfur,0.0,-0.0002433090024331264,-0.0002433090024331264
BRA_MANmet,-0.169915764139591,0.005116659844453458,0.0765577507598784
BRA_MANmot,0.0014575488886189665,-0.00012165450121661926,0.0
BRA_MANpap,0.004527813712807325,0.0,0.0
BRA_MIN+,0.003330870507866923,-0.00012154212650105224,2.4304880420025563e-05
BRA_PROleg,0.0003473669584549317,0.0,0.0
BRA_PUB+,0.0,0.0,0.0
BRA_RES+,0.0,0.0,0.0
BRA_TRAinl,0.01901563001819936,-0.000423058027185035,-0.01085217870932162
BRA_TRDmot,0.011670844238509082,-0.0003361317636513942,-0.006328145756680339
CAN_ADM+,0.0,0.0,0.0
CAN_AGRagr,0.0,0.0,0.0
CAN_AGRfor,0.0,0.0,0.0
CAN_CNS+,0.002624996564140692,-0.0005928744760644099,-0.0005652833310353847
CAN_COMpub,0.0,0.0,0.0
CAN_ENRoil,-0.18441694265295444,0.0017262276416792873,0.0016528925619834305
CAN_FD+,0.0,0.0,0.0
CAN_FINser,0.0,0.0,0.0
CAN_HEA+,0.0,0.0,0.0
CAN_MANfoo,0.0,0.0,0.0
CAN_MANmet,-0.2154656937265633,0.0005833333333334589,0.0007498750208299354
CAN_MANmot,-0.0004467461985208481,-6.615944426064761e-05,-4.961876250813906e-05
CAN_MANpla,0.0,0.0,0.0
CAN_MANwoo,0.0,0.0,0.0
CAN_MIN+,0.0,0.0,0.0
CAN_PUB+,8.087343307720896e-05,0.0,0.0
CAN_RES+,0.002957526207398425,-0.0006682518221517634,-0.0006371505384698511
CAN_TRAinl,-0.02738095238095236,0.006761617033520373,0.006475751906749146
CAN_TRDmot,0.0019984422398950197,-0.0004828734049767362,-0.0004520377657006937
CHE_CNS+,-0.0009512485136743396,0.0014234875444839798,0.00166034155597715
CHE_ENRele,0.0353215013092814,0.009203920631125986,0.00938153570361523
CHE_ENRoil,0.044064978255308335,0.0024693005872932047,-0.011880987035846037
CHE_FINser,0.05783866057838656,0.0013712995079454898,0.005462724935732576
CHE_MANcom,0.010400180872710926,0.0,0.00022841480127926226
CHE_MANfoo,-0.9995147986414361,0.0,0.0
CHE_MANmac,0.008757819481680145,-0.0005412231643514321,-0.0005412231643514321
CHE_MANpha,-0.028296493902439056,-0.0004171108124392408,-0.00035529466285634883
CHE_MANwoo,0.0,0.0,0.0
CHE_PROleg,0.025100004395797505,4.50876955677824e-05,0.00760694469303735
CHE_PUB+,0.0012628255722178807,-0.0007908889591901751,0.0012628255722178807
CHE_RES+,-0.0004889019262736176,-0.0004889019262736176,-0.0004889019262736176
CHE_TRDmot,0.011187750953832828,0.00016004312741111073,-0.00681962763475981
CHN_ADM+,0.14251447477253928,0.007657700775342114,-0.17940841865756557
CHN_AGRagr,0.0041721827736990865,0.005050302617339278,-0.02948739216987399
CHN_CNS+,0.0,0.0,0.0
CHN_COMcom,0.0,0.0,0.0
CHN_ENRele,-0.04370316333974398,-0.002228873463669373,0.2706122259813691
CHN_ENRoil,-0.14187619391811657,0.13809161941505432,0.347917741578831
CHN_FD+,0.00890327802509102,0.013295729250604297,0.016860698514652682
CHN_FINser,-0.008591885441527412,0.0,0.0
CHN_MANche,-0.169033615454502,0.007107176217357863,0.32973269362577107
CHN_MANcom,-0.06487812926680445,-0.011764916308328714,0.002162456068625851
CHN_MANele,0.14039309950030399,0.00807193585960915,-1.4166735679779159
CHN_MANfmp,0.3499505048505246,0.014566117769463066,-2.0872563154265658
CHN_MANfoo,0.03735971086170821,0.0036227603859027703,-0.38396324454411207
CHN_MANfur,0.18900343642611683,0.0,-0.0004462293618920792
CHN_MANmac,-4.41472466481661,0.007006792189059369,-100.55134033547576
CHN_MANmet,0.7592410900033,0.005039816833444268,0.006173008236751968
CHN_MANmot,0.9700105857082661,-0.008362706475913967,-4.802346390932591
CHN_MANpap,0.05443329718004331,0.0008595372824296219,0.0014317417137947816
CHN_MANpha,-1.1238961575947308,0.02208412091872133,0.05712599973777373
CHN_MANpla,-1.3118478753969454,0.02420615924684848,0.04455901882665412
CHN_MANtex,0.17037138051729617,0.006532034184312204,0.010464107568856922
CHN_MANwoo,0.1666666666666666,0.0,0.0
CHN_PROleg,0.0349525404801787,0.011552098821914871,0.34133607713120695
CHN_RES+,0.0,0.0,0.0
