,gl,eu,cbam
AUS_ADM+,0.008743023045495986,-0.0001410165007335044,0.00098711550513661
AUS_AGRagr,0.0,0.0,0.0
AUS_CNS+,-0.006618487894944111,-0.010276073310570606,-0.026543619873405998
AUS_COMpub,0.0,0.0,0.0
AUS_ENRcoa,2.5764609498512763,0.0,0.11016937006166809
AUS_ENRele,0.014608029719938177,0.0,0.0
AUS_FD+,0.5000225319176976,0.0,0.0
AUS_FINser,0.1186872171692285,0.08754479867001463,0.08650671805337383
AUS_HEA+,0.0,0.0,0.0
AUS_MANfoo,0.6379460619386511,0.0,0.0
AUS_MANmet,0.0,0.0,0.0
AUS_MANwoo,0.0,0.0,0.0
AUS_MIN+,-0.17325033817985697,-0.22305981040656128,-0.42099832177704366
AUS_PROleg,0.30505984764852584,0.04222785480576253,0.11081171554201832
AUS_RES+,0.0013605975518383821,5.6691564660019666e-05,0.0
AUS_TRAinl,-3.2345114013948826,0.0,0.28126186099083683
AUS_TRDmot,-0.054434392370538945,-0.011395356534616619,-0.01175855514926564
AUT_ADM+,0.0,0.0,0.0
AUT_CNS+,-0.0009333128979620881,0.008399816081679435,-0.009333128979641522
AUT_COMpub,0.0,0.0,0.0
AUT_ENRele,0.015793364442416215,-0.03093545612432033,-0.030447001553936325
AUT_ENRgas,4.398377083920523,-0.7141050035381211,-0.6234849369952795
AUT_FD+,0.0,0.0,0.0
AUT_MANfmp,0.0340184847405862,-0.01700924237029307,-0.014741343387587334
AUT_MANfoo,0.0,0.0,0.0
AUT_MANmac,-3.4101354088479177,0.16076270029840922,-3.3786189801922943
AUT_MANmet,-0.5129743329100236,-0.29966524388202176,-0.2065038485639617
AUT_MANmot,2.5020686366849993,0.1278888739299599,3.243272191255467
AUT_MANpap,0.0,-0.025008588087220677,0.0
AUT_MANwoo,0.03371986493033926,0.04425732272106985,0.01896742402331565
AUT_PROleg,-0.0158877456485558,0.008130787478966731,0.0073364001965387695
AUT_RES+,-0.0021643660826087246,0.015150562578265062,-0.005410915206523806
AUT_TRAwar,0.0,0.0,0.0
AUT_TRDmot,-0.3444882841501176,0.2160211568067219,0.6038773247096983
BEL_ADM+,-0.01991526558925631,0.0,0.0
BEL_CNS+,-0.03379388206599969,0.021343504462736165,0.02774655580155636
BEL_ENRoil,0.3174356381403883,-0.0019675762694652105,-0.09772295471677231
BEL_FD+,-0.07752927874546887,0.0,0.0
BEL_FINser,1.1327297426637923,0.020675484857652828,-0.08772142130356864
BEL_MANche,0.051733925436877784,-0.014271427706724881,-0.0009307452852211847
BEL_MANfoo,0.12775409239680524,0.7926190072959225,0.039685313808369864
BEL_MANmet,0.013310398861491195,-0.030669765208820598,-0.02580635024019879
BEL_MANwoo,0.0,0.0,0.0
BEL_PROleg,0.17955659215925546,0.051414349660440964,0.08926354699586628
BEL_PUB+,0.0,0.0,0.0
BEL_RES+,-0.06668413614774293,0.02703410924908419,0.0324409310989028
BEL_TRAinl,0.0,0.0,0.0
BEL_TRAwar,-2.1405971280403477,-0.026510333869518173,-0.02695966156222089
BEL_TRDmot,-0.023070161358808836,0.0561055403459785,0.024162240003012456
BGR_AGRagr,0.26219747569364577,0.20915752832050366,0.6194665551693387
BGR_CNS+,0.8395511383787493,-0.42041775516977636,-0.4193474452024398
BGR_COMcom,0.0,0.0,0.0
BGR_ENRele,-0.8218856642231029,0.411047477599739,0.411047477599739
BGR_ENRoil,1.0293584404207357,-0.5114010086166715,-0.5148103486741153
BGR_FINser,0.0,0.0,0.0
